circulatingSupply,marketCap,maxSupply,name,price,ticker,website
"
790,906,715
","81,573,328","
1,200,000,000
",Centrality,0.103139,(CENNZ),https://www.centrality.ai/
"
23,073,952
","30,451,618","
23,176,392
",Viacoin,1.32,(VIA),http://viacoin.org
"
149,792,458
","81,131,040","
299,792,458
",Cortex,0.541623,(CTXC),http://www.cortexlabs.ai/
"
15,638,907
","30,412,983","
17,093,134
",Bitcore,1.94,(BTX),http://bitcore.cc/
"
1,053,773,052
","80,404,886","
1,654,817,331
",SmartCash,0.076302,(SMART),https://smartcash.cc/
"
217,324,021
","30,126,977",,Einsteinium,0.138627,(EMC2),https://www.emc2.foundation/
"
383,021,000
","78,357,670","
472,000,000
",Substratum,0.204578,(SUB),https://substratum.net/
"
145,912,366
","30,007,024","
700,000,000
",NKN,0.205651,(NKN),https://nkn.org/
"
8,745,102
","78,072,598",,Factom,8.93,(FCT),http://factom.org/
"
73,430,701
","29,499,903","
100,000,000
",AdEx,0.401738,(ADX),https://www.adex.network/
"
4,494,529,635
","75,156,176","
10,000,000,000
",Storm,0.016722,(STORM),https://stormtoken.com/
"
1,099,946,877
","29,247,367","
1,299,999,942
",ETHLend,0.026590,(LEND),https://ethlend.io/
"
37,302,632
","75,124,517","
100,000,000
",High Performance Blockchain,2.01,(HPB),http://www.gxn.io/
"
376,765,852
","28,832,949","
999,999,999
",CPChain,0.076527,(CPC),http://www.cpchain.io/
"
179,017,071
","71,981,869","
268,946,131
",ODEM,0.402095,(ODE),https://odem.io/
"
1,076,141,972
","28,793,039","
5,000,000,000
",Soarcoin,0.026756,(SOAR),http://soarlabs.org/
"
761,444,190
","70,647,325","
2,000,000,000
",Game.com,0.092781,(GTC),http://game.com/
"
531,344,681
","28,769,392","
1,469,247,736
",Endor Protocol,0.054144,(EDR),https://www.endor.com/
"
1,102,115,896
","69,531,059","
2,147,483,648
",CyberVein,0.063089,(CVT),http://www.cybervein.org/
"
31,529,118,324
","28,750,615","
100,000,000,000
",Telcoin,0.000912,(TEL),https://www.telco.in/
